timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614618880445,711,Kittens,200,OK,Bing Various 2-1,text,true,,653201,6605,2,3,http://www.bing.com/images/search?q=Kittens,21,0,11
1614618880445,21,Kittens-0,301,Moved Permanently,Bing Various 2-1,,true,,277,135,2,3,http://bing.com/images/search?q=Kittens,21,0,11
1614618880466,238,Kittens-1,200,OK,Bing Various 2-1,text,true,,471248,139,2,3,http://www.bing.com/images/search?q=Kittens,66,0,17
1614618880706,11,Kittens-2,200,OK,Bing Various 2-1,bin,true,,4618,138,2,3,http://www.bing.com/sa/simg/favicon-2x.ico,11,0,0
1614618880717,9,Kittens-3,200,OK,Bing Various 2-1,text,true,,1378,150,2,3,http://www.bing.com/rp/XvRHqJwJt19aXQca73hQTfvNMxk.svg,9,0,0
1614618880726,10,Kittens-4,200,OK,Bing Various 2-1,text,true,,1504,150,2,3,http://www.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg,10,0,0
1614618880736,9,Kittens-5,200,OK,Bing Various 2-1,text,true,,1935,150,2,3,http://www.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg,9,0,0
1614618880745,9,Kittens-6,200,OK,Bing Various 2-1,text,true,,1115,150,2,3,http://www.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg,9,0,0
1614618880754,9,Kittens-7,200,OK,Bing Various 2-1,text,true,,1797,150,2,3,http://www.bing.com/rp/UYtUYDcn1oZlFG-YfBPz59zejYI.svg,9,0,0
1614618880763,9,Kittens-8,200,OK,Bing Various 2-1,text,true,,1559,150,2,3,http://www.bing.com/rp/KC_nX2_tPPyFvVw1RK20Yu1FyDk.svg,9,0,0
1614618880772,9,Kittens-9,200,OK,Bing Various 2-1,text,true,,1945,150,2,3,http://www.bing.com/rp/NnFHhz2jL6yzChtIhaB5IIVKY5k.svg,9,0,0
1614618880781,11,Kittens-10,200,OK,Bing Various 2-1,text,true,,1507,150,2,3,http://www.bing.com/rp/jZQUtjbvBNTFVhjuc1I6KRsoYFQ.css,11,0,0
1614618880792,9,Kittens-11,200,OK,Bing Various 2-1,text,true,,1547,150,2,3,http://www.bing.com/rp/DGRMR9NeVlyY3l85HlsGXYkE8_s.css,9,0,0
1614618880801,9,Kittens-12,200,OK,Bing Various 2-1,text,true,,1212,150,2,3,http://www.bing.com/rp/K1lFw1Mm-fGE5oJrZ4Sbf44j-54.css,9,0,0
1614618880810,10,Kittens-13,200,OK,Bing Various 2-1,text,true,,7546,150,2,3,http://www.bing.com/rp/IM8yRggr6PIeHc40CX57dqaq-lc.css,10,0,0
1614618880820,10,Kittens-14,200,OK,Bing Various 2-1,text,true,,1774,150,2,3,http://www.bing.com/rp/dPivqrU3cqe5fmsrlV6oVXWN6J8.css,10,0,0
1614618880830,11,Kittens-15,200,OK,Bing Various 2-1,text,true,,4628,150,2,3,http://www.bing.com/rp/fWNNQ1PnvP0-d6lD80KSmXG3Q4o.css,11,0,0
1614618880841,9,Kittens-16,200,OK,Bing Various 2-1,bin,true,,2632,150,2,3,http://www.bing.com/rp/kFAqShRrnkQMbH6NYLBYoJ3lq9s.png,9,0,0
1614618880850,28,Kittens-17,200,OK,Bing Various 2-1,bin,true,,1602,203,2,3,http://tse1.mm.bing.net/th?q=Really+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,28,0,17
1614618880878,28,Kittens-18,200,OK,Bing Various 2-1,bin,true,,1626,198,2,3,http://tse3.mm.bing.net/th?q=Ginger+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,28,0,17
1614618880907,27,Kittens-19,200,OK,Bing Various 2-1,bin,true,,1868,200,2,3,http://tse4.mm.bing.net/th?q=Too+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,27,0,16
1614618880934,10,Kittens-20,200,OK,Bing Various 2-1,bin,true,,1502,198,2,3,http://tse3.mm.bing.net/th?q=Fluffy+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,10,0,0
1614618880944,10,Kittens-21,200,OK,Bing Various 2-1,bin,true,,1509,201,2,3,http://tse4.mm.bing.net/th?q=Cute+Baby+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,10,0,0
1614618880954,13,Kittens-22,200,OK,Bing Various 2-1,bin,true,,2006,200,2,3,http://tse1.mm.bing.net/th?q=Precious+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,13,0,0
1614618880967,11,Kittens-23,200,OK,Bing Various 2-1,bin,true,,8002,184,2,3,http://tse4.mm.bing.net/th/id/OIP.EU8SktG5ZMii70PgLSZEiQHaIF?w=191&h=209&c=7&o=5&pid=1.7,11,0,0
1614618880978,11,Kittens-24,200,OK,Bing Various 2-1,bin,true,,9590,232,2,3,http://tse3.mm.bing.net/th?q=Little+Baby+Kittens&dc=3&w=100&h=100&c=1&rs=1&pid=InlineBlock&mkt=en-GB&adlt=moderate&t=1&mw=240&sr=3&shs=2,11,0,0
1614618880989,11,Kittens-25,200,OK,Bing Various 2-1,bin,true,,5540,184,2,3,http://tse4.mm.bing.net/th/id/OIP.1BLPgeOcciiQS0BjG1qktgHaHm?w=191&h=196&c=7&o=5&pid=1.7,11,0,0
1614618881000,11,Kittens-26,200,OK,Bing Various 2-1,bin,true,,12066,184,2,3,http://tse1.mm.bing.net/th/id/OIP.DYS2GCbA20jAS2n271fVRgHaLI?w=191&h=288&c=7&o=5&pid=1.7,11,0,0
1614618881012,27,Kittens-27,200,OK,Bing Various 2-1,bin,true,,10295,184,2,3,http://tse2.mm.bing.net/th/id/OIP.dxS3hmLb4wG2kgWr7YmErwAAAA?w=191&h=260&c=7&o=5&pid=1.7,27,0,16
1614618881039,11,Kittens-28,200,OK,Bing Various 2-1,bin,true,,13420,184,2,3,http://tse4.mm.bing.net/th/id/OIP.Xu7KS9rBARpSC1LcidhKKwHaMY?w=191&h=320&c=7&o=5&pid=1.7,11,0,0
1614618881050,11,Kittens-29,200,OK,Bing Various 2-1,bin,true,,8791,184,2,3,http://tse2.mm.bing.net/th/id/OIP.0MQsBA0jAi0NTv_rKmbTCwAAAA?w=191&h=255&c=7&o=5&pid=1.7,11,0,0
1614618881061,12,Kittens-30,200,OK,Bing Various 2-1,bin,true,,12542,184,2,3,http://tse4.mm.bing.net/th/id/OIP.87hD7hGp7y1lHaF0HzYyrQHaK7?w=191&h=282&c=7&o=5&pid=1.7,12,0,0
1614618881073,12,Kittens-31,200,OK,Bing Various 2-1,bin,true,,11837,184,2,3,http://tse1.mm.bing.net/th/id/OIP.8H5mYRoTtJyhQ1g-Fn5cmQHaLB?w=191&h=286&c=7&o=5&pid=1.7,12,0,0
1614618881085,10,Kittens-32,200,OK,Bing Various 2-1,bin,true,,10282,184,2,3,http://tse4.mm.bing.net/th/id/OIP.p-oQ3KFc_2cndtaEoIMRrgHaJ4?w=191&h=255&c=7&o=5&pid=1.7,10,0,0
